Age,AnnualIncome,Gender,MembershipDuration,Location
62,43950.03,Male,7,Suburban
37,52891.4,Male,5,Urban
48,79045.51,Female,6,Urban
24,81618.29,Male,5,Urban
49,81339.63,Female,9,Suburban
39,16367.76,Female,9,Rural
55,86668.45,Male,1,Urban
59,62773.51,Male,3,Urban
47,52982.56,Male,3,Suburban
44,61789.66,Female,3,Rural
34,82655.62,Male,8,Rural
20,78555.9,Female,5,Urban
70,78779.9,Female,8,Rural
66,74096.42,Female,5,Suburban
45,49979.04,Male,2,Suburban
33,51314.85,Female,6,Urban
26,46073.85,Male,5,Urban
21,52661.07,Male,4,Suburban
41,59785.8,Female,3,Rural
53,31234.89,Female,7,Urban
48,46803.04,Female,6,Rural
68,101100.83,Male,1,Urban
60,51140.06,Male,1,Rural
29,86515.5,Male,3,Rural
26,52584.66,Female,6,Urban
27,29971.62,Male,2,Urban
32,65029.83,Male,1,Urban
61,29484.28,Male,9,Rural
55,51580.9,Female,3,Suburban
43,125366.39,Female,5,Rural
47,47510.64,Female,9,Urban
40,97090.78,Female,4,Urban
48,67689.39,Male,6,Rural
48,56785.9,Female,4,Rural
43,71719.67,Female,7,Rural
62,67022.73,Female,9,Rural
27,67049.38,Female,1,Urban
39,29433.55,Female,9,Urban
53,63701.9,Female,1,Rural
58,87262.83,Male,9,Urban
43,34107.54,Male,2,Suburban
67,50118.09,Female,2,Urban
28,88450.06,Female,2,Rural
56,53124.95,Female,1,Suburban
45,94426.73,Female,5,Rural
39,51030.37,Female,7,Rural
32,68015.3,Female,4,Urban
42,89994.44,Female,1,Urban
50,35383.45,Male,9,Suburban
30,42307.17,Male,9,Suburban
55,69195.33,Male,9,Rural
34,33926.74,Male,5,Rural
67,66090.74,Female,3,Rural
53,64491.1,Female,6,Suburban
63,52193.7,Female,4,Suburban
22,121820.3,Male,8,Rural
25,45105.71,Female,1,Rural
21,29458.1,Male,9,Rural
28,15000.0,Male,2,Suburban
26,31762.07,Male,6,Rural
48,87488.92,Male,5,Urban
39,49562.38,Female,8,Urban
33,112592.5,Female,3,Suburban
57,67235.06,Male,2,Urban
61,67264.8,Female,6,Rural
37,15000.0,Male,5,Rural
31,85453.25,Male,9,Urban
50,49213.29,Female,9,Suburban
55,87064.51,Female,4,Urban
41,61492.84,Male,2,Rural
52,75020.08,Male,4,Rural
64,54110.22,Male,7,Urban
20,104287.24,Female,8,Suburban
59,26835.07,Female,4,Urban
37,66447.16,Male,1,Suburban
34,90579.82,Female,8,Urban
30,58196.27,Female,4,Rural
45,15000.0,Female,1,Suburban
37,60470.64,Male,4,Rural
31,69565.54,Female,9,Rural
41,60004.52,Male,3,Rural
64,63346.61,Male,7,Rural
34,30857.93,Female,8,Suburban
36,44534.52,Female,4,Rural
69,102319.16,Male,4,Suburban
45,37183.46,Male,9,Rural
53,25200.47,Male,4,Rural
53,69365.32,Male,7,Rural
70,76088.27,Female,2,Rural
44,83887.96,Female,6,Rural
31,24614.41,Female,3,Suburban
33,43033.39,Female,8,Rural
27,32434.46,Male,2,Rural
28,64303.06,Male,9,Urban
53,55889.42,Female,9,Urban
37,60451.07,Female,5,Rural
45,32557.82,Male,8,Suburban
38,23332.72,Male,3,Urban
27,62759.71,Female,6,Suburban
32,36988.62,Male,9,Suburban
35,31488.22,Male,2,Suburban
23,45338.71,Female,2,Urban
60,38959.71,Male,3,Suburban
30,37844.99,Female,1,Urban
37,83558.35,Male,1,Rural
56,77147.58,Male,4,Suburban
30,93217.49,Male,1,Rural
65,41593.55,Male,5,Urban
31,79063.85,Male,1,Rural
41,42491.76,Male,2,Urban
29,95854.74,Male,2,Suburban
60,15000.0,Male,4,Urban
29,48156.04,Male,4,Urban
47,53839.21,Female,2,Rural
62,100480.38,Male,8,Urban
66,68995.84,Male,5,Rural
63,75540.94,Male,5,Rural
24,44573.54,Male,1,Rural
51,28294.93,Female,7,Rural
58,66456.25,Female,5,Urban
64,43174.13,Male,7,Rural
32,98580.95,Female,4,Suburban
57,74485.59,Female,5,Rural
64,57802.77,Female,8,Urban
36,52433.13,Female,2,Rural
22,75170.9,Female,8,Rural
43,44621.89,Male,2,Urban
63,72238.98,Male,8,Suburban
26,42772.61,Male,9,Suburban
25,47924.96,Female,6,Suburban
45,40343.73,Female,5,Suburban
47,46125.05,Male,5,Rural
58,64022.17,Female,6,Urban
49,110517.14,Female,4,Suburban
30,78810.69,Female,4,Urban
24,103190.63,Male,8,Rural
24,72014.04,Male,8,Rural
53,81464.56,Female,9,Rural
45,90943.15,Male,6,Suburban
26,70670.74,Male,6,Rural
36,78856.12,Female,1,Urban
65,82186.2,Female,9,Urban
